=== RUN   TestWriteThroughPut
2025-02-28T20:51:58.664Z	info	/mydata/VictoriaMetrics-sketches/lib/memory/memory.go:42	limiting caches to 242618914406 bytes, leaving 161745942938 bytes to the OS according to -memory.allowedPercent=60
Threads: 64 ; Each thread handles 157 timeseries.
2025-02-28T20:52:05.269Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:199	creating a partition "1970_01" with smallPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/small/1970_01", bigPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/big/1970_01"
2025-02-28T20:52:05.310Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:208	partition "1970_01" has been created
throughput: 0 1.0135859951850002e+06
throughput: 100 1.0601315740639977e+06
throughput: 200 1.0727930070459864e+06
throughput: 300 1.086871277066281e+06
throughput: 400 1.088107063913281e+06
throughput: 500 1.0660922571061754e+06
throughput: 600 1.058897622026682e+06
throughput: 700 1.0561499033269028e+06
throughput: 800 1.0334157280171417e+06
throughput: 900 1.0355560605925643e+06
throughput: 1000 1.0418731614874732e+06
throughput: 1100 1.0440411250471901e+06
throughput: 1200 1.0460230560705535e+06
throughput: 1300 1.0495244394335276e+06
throughput: 1400 1.0494784729442692e+06
throughput: 1500 1.0479441106690019e+06
throughput: 1600 1.051076497017044e+06
throughput: 1700 1.0500149771161294e+06
throughput: 1800 1.0504141539700015e+06
throughput: 1900 1.053457917880682e+06
throughput: 2000 1.0542919353315062e+06
throughput: 2100 1.0547272790543116e+06
throughput: 2200 1.0560133060335878e+06
throughput: 2300 1.0531487933917816e+06
throughput: 2400 1.0551182788191973e+06
throughput: 2500 1.0558908082197404e+06
throughput: 2600 1.0564119200910882e+06
throughput: 2700 1.0573713696972842e+06
throughput: 2800 1.0575432643997197e+06
throughput: 2900 1.0563786871431821e+06
throughput: 3000 1.057566018741406e+06
throughput: 3100 1.0582046574966353e+06
throughput: 3200 1.05924407524129e+06
throughput: 3300 1.0597724127397842e+06
throughput: 3400 1.0606827868953971e+06
throughput: 3500 1.0615207185258593e+06
throughput: 3600 1.0610559849896675e+06
throughput: 3700 1.0615187371390618e+06
throughput: 3800 1.0575388533110179e+06
throughput: 3900 1.0579240527384721e+06
throughput: 4000 1.0583843264138734e+06
throughput: 4100 1.058311610087793e+06
throughput: 4200 1.0585560719614432e+06
throughput: 4300 1.0587540864304663e+06
throughput: 4400 1.0586483205739537e+06
throughput: 4500 1.0593147163228123e+06
throughput: 4600 1.057675682411098e+06
throughput: 4700 1.0580402656806107e+06
throughput: 4800 1.058875958433262e+06
throughput: 4900 1.0594416003000727e+06
throughput: 5000 1.0596515955590943e+06
throughput: 5100 1.0595721896149728e+06
throughput: 5200 1.0593874220417922e+06
throughput: 5300 1.0601593270040993e+06
throughput: 5400 1.060700827442936e+06
throughput: 5500 1.0615648212985767e+06
throughput: 5600 1.0619560667767993e+06
throughput: 5700 1.0624045818737694e+06
throughput: 5800 1.0632482943645956e+06
throughput: 5900 1.0622566420833198e+06
throughput: 6000 1.0626621191972184e+06
throughput: 6100 1.0629655358095758e+06
throughput: 6200 1.0635594263869757e+06
throughput: 6300 1.0637282176331955e+06
throughput: 6400 1.064317135123779e+06
throughput: 6500 1.0644648437169953e+06
throughput: 6600 1.0643339215523547e+06
throughput: 6700 1.0649496970156305e+06
throughput: 6800 1.0650764103851332e+06
throughput: 6900 1.0656816948236017e+06
throughput: 7000 1.0657785446510138e+06
throughput: 7100 1.0662055185638142e+06
throughput: 7200 1.0662422263402417e+06
throughput: 7300 1.066706614187422e+06
throughput: 7400 1.066813964312625e+06
throughput: 7500 1.0672557172869677e+06
throughput: 7600 1.0673502622111226e+06
throughput: 7700 1.0672186227979343e+06
throughput: 7800 1.068123757549716e+06
throughput: 7900 1.0680355500305484e+06
throughput: 8000 1.068446003688498e+06
throughput: 8100 1.068139263298638e+06
throughput: 8200 1.0685148252342872e+06
throughput: 8300 1.0682273229657458e+06
throughput: 8400 1.0685295704116798e+06
throughput: 8500 1.0682716985655506e+06
throughput: 8600 1.0683859580572078e+06
throughput: 8700 1.0685349532500212e+06
throughput: 8800 1.068802964066135e+06
throughput: 8900 1.0686944988420315e+06
throughput: 9000 1.0687215890420051e+06
throughput: 9100 1.0688892925809037e+06
throughput: 9200 1.068728398557581e+06
throughput: 9300 1.0690251671798169e+06
throughput: 9400 1.0686777243449907e+06
throughput: 9500 1.0690133842325099e+06
throughput: 9600 1.068789626299292e+06
throughput: 9700 1.0688506231726524e+06
throughput: 9800 1.0686647421891768e+06
throughput: 9900 1.0690024013600438e+06
throughput: 10000 1.068652095098931e+06
